AGENCY,UPLOADED ON,VALUE
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,2999999
Department of State,2/26/2025,2999975
Department of State,2/26/2025,2999702
Department of State,2/26/2025,2998720
Department of State,2/26/2025,2997636
Department of State,2/26/2025,2994938
Department of State,2/26/2025,2990184
Department of State,2/26/2025,2974991
Department of State,2/26/2025,2964205
Department of State,2/26/2025,5114355
Department of State,2/26/2025,2962960
Department of State,2/26/2025,5000000
Department of State,2/26/2025,2962396
Department of State,2/26/2025,2961849
Department of State,2/26/2025,2961500
Department of State,2/26/2025,2959500
Department of State,2/26/2025,2950273
Department of State,2/26/2025,2950000
Department of State,2/26/2025,2950000
Department of State,2/26/2025,2937678
Department of State,2/26/2025,2935000
Department of State,2/26/2025,2919988
Department of State,2/26/2025,2912844
Department of State,2/26/2025,2910830
Department of State,2/26/2025,4500000
Department of State,2/26/2025,2882715
Department of State,2/26/2025,2863075
Department of State,2/26/2025,2750000
Department of State,2/26/2025,2750000
Department of State,2/26/2025,2750000
Department of State,2/26/2025,2750000
Department of State,2/26/2025,2750000
Department of State,2/26/2025,2732760
Department of State,2/26/2025,2700000
Department of State,2/26/2025,2696334
Department of State,2/26/2025,3792500
Department of State,2/26/2025,2637000
Department of State,2/26/2025,2634231
Department of State,2/26/2025,2618023
Department of State,2/26/2025,2610000
Department of State,2/26/2025,2610000
Department of State,2/26/2025,3792500
Department of State,2/26/2025,2601977
Department of State,2/26/2025,2600000
Department of State,2/26/2025,2600000
Department of State,2/26/2025,2600000
Department of State,2/26/2025,2600000
Department of State,2/26/2025,2600000
Department of State,2/26/2025,2599951
Department of State,2/26/2025,2589506
Department of State,2/26/2025,2577419
Department of State,2/26/2025,2576000
Department of State,2/26/2025,2575000
Department of State,2/26/2025,2568790
Department of State,2/26/2025,25000
Department of State,2/26/2025,2561100
Department of State,2/26/2025,2530860
Department of State,2/26/2025,2500000
Department of State,2/26/2025,2500000
Department of State,2/26/2025,2500000
Department of State,2/26/2025,2500000
Department of State,2/26/2025,2500000
Department of State,2/26/2025,2500000
Department of State,2/26/2025,2500000
Department of State,2/26/2025,2500000
Department of State,2/26/2025,1500000
Department of State,2/26/2025,2498123
Department of State,2/26/2025,2469135
Department of State,2/26/2025,2467280
Department of State,2/26/2025,2453223
Department of State,2/26/2025,2448492
Department of State,2/26/2025,2446452
Department of State,2/26/2025,2434835
Department of State,2/26/2025,2432000
Department of State,2/26/2025,3640000
Department of State,2/26/2025,2420597
Department of State,2/26/2025,2414000
Department of State,2/26/2025,2407060
Department of State,2/26/2025,3000000
Department of State,2/26/2025,2400000
Department of State,2/26/2025,2400000
Department of State,2/26/2025,2390369
Department of State,2/26/2025,2385000
Department of State,2/26/2025,2373575
Department of State,2/26/2025,2368000
Department of State,2/26/2025,3000000
Department of State,2/26/2025,2348446
Department of State,2/26/2025,2338320
Department of State,2/26/2025,2329219
Department of State,2/26/2025,2320987
Department of State,2/26/2025,2320987
Department of State,2/26/2025,2303077
Department of State,2/26/2025,2301911
Department of State,2/26/2025,2301409
Department of State,2/26/2025,2300094
Department of State,2/26/2025,2300000
Department of State,2/26/2025,2299778
Department of State,2/26/2025,2281481
Department of State,2/26/2025,2276628
Department of State,2/26/2025,2276160
Department of State,2/26/2025,3000000
Department of State,2/26/2025,2250000
Department of State,2/26/2025,2250000
Department of State,2/26/2025,2250000
Department of State,2/26/2025,2221235
Department of State,2/26/2025,2211824
Department of State,2/26/2025,2211616
Department of State,2/26/2025,2200000
Department of State,2/26/2025,2200000
Department of State,2/26/2025,2198875
Department of State,2/26/2025,2192919
Department of State,2/26/2025,2182095
Department of State,2/26/2025,2170993
Department of State,2/26/2025,2170300
Department of State,2/26/2025,2162675
Department of State,2/26/2025,2962960
Department of State,2/26/2025,2124000
Department of State,2/26/2025,2120493
Department of State,2/26/2025,2120060
Department of State,2/26/2025,2119944
Department of State,2/26/2025,2103090
Department of State,2/26/2025,2100000
Department of State,2/26/2025,2100000
Department of State,2/26/2025,2100000
Department of State,2/26/2025,2082734
Department of State,2/26/2025,2077370
Department of State,2/26/2025,2075000
Department of State,2/26/2025,2073505
Department of State,2/26/2025,2072928
Department of State,2/26/2025,2070358
Department of State,2/26/2025,2069335
Department of State,2/26/2025,2055900
Department of State,2/26/2025,2055414
Department of State,2/26/2025,2053863
Department of State,2/26/2025,2048416
Department of State,2/26/2025,2020799
Department of State,2/26/2025,2020768
Department of State,2/26/2025,2020030
Department of State,2/26/2025,2002343
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2962808
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,2000000
Department of State,2/26/2025,1999999
Department of State,2/26/2025,1999981
Department of State,2/26/2025,1999720
Department of State,2/26/2025,1996311
Department of State,2/26/2025,1989694
Department of State,2/26/2025,2900000
Department of State,2/26/2025,1987206
Department of State,2/26/2025,1986110
Department of State,2/26/2025,1983288
Department of State,2/26/2025,1975308
Department of State,2/26/2025,1975305
Department of State,2/26/2025,1975300
Department of State,2/26/2025,1975000
Department of State,2/26/2025,1974794
Department of State,2/26/2025,1974590
Department of State,2/26/2025,1973359
Department of State,2/26/2025,1973359
Department of State,2/26/2025,1973358
Department of State,2/26/2025,1969991
Department of State,2/26/2025,1969750
Department of State,2/26/2025,1961389
Department of State,2/26/2025,1956000
Department of State,2/26/2025,1950000
Department of State,2/26/2025,1947890
Department of State,2/26/2025,1947472
Department of State,2/26/2025,1940000
Department of State,2/26/2025,1939461
Department of State,2/26/2025,1938972
Department of State,2/26/2025,1938907
Department of State,2/26/2025,1930000
Department of State,2/26/2025,1930000
Department of State,2/26/2025,1925925
Department of State,2/26/2025,1924995
Department of State,2/26/2025,1920510
Department of State,2/26/2025,1914000
Department of State,2/26/2025,1908827
Department of State,2/26/2025,2667552
Department of State,2/26/2025,1899982
Department of State,2/26/2025,1899947
Department of State,2/26/2025,1892839
Department of State,2/26/2025,1891134
Department of State,2/26/2025,1879489
Department of State,2/26/2025,1876543
Department of State,2/26/2025,1876540
